Priority,company_name,address_lines,person,phone,web
1,Activa,"['55 Columbia St. East, Suite 1', 'Waterloo, ON', 'N2J 4N7']",Geoff McMurdo,519-886-9400,www.activagroup.ca
2,Alma Mechanical,"['2365 Energy Dr, Unit 4', 'Bowmanville, ON', 'L1C 3K3']",Dave Decker,(905) 697-5775,-
2,CCR Build + Remodel Inc.,"['2416 Sunningdale Rd. W.,', 'London, ON', 'N6H 5L2']",Peder Madsen,519-472-7461,www.ccrbuilding.com
2,Digreen Homes Inc.,"['327 Renfrew Drive', 'Markham, ON', 'L3R 9S8']",Abubakar Masood,905-513-7999,http://digreenhomes.ca
2,Ecocor Construction Ltd.,"['4070 Confederation Parkway', 'Mississauga, ON', 'L5B 0E9']",Rami Saidi,416-500-5222,http://www.Ecocor.ca
2,Fusion Homes,"['500 Hanlon Creek Blvd', 'Guelph, ON', 'N1C 0A1']",Lee Piccoli,519-835-0773,-
2,Gemini Homebuilders ,"['275 Hanlon Creek Blvd', 'Guelph, ON', 'N1C 0A1']",Joe Harris,519-824-0789,www.geminihomes.ca
1,Great Gulf,"['351 King Street East Suite 1300', 'Toronto, ON', 'M5A 0L6']",Niall Collins,416-774-2858,www.greatgulf.com
1,Greenpark Homes,"['8700 Dufferin Street', 'Vaughan, ON', 'L4K 4S6']",Lino Pellicano,416-661-5329,http://www.greenparkhomes.com
2,Holman Construction Inc.,"['39782 Dashwood Road', 'Hay, ON', 'N0M 1W0']",Scott Holman,519-660-9072,www.holmanconstruct.com
2,Longwood Building Corporation,"['5-1010 Polytek Street', 'Gloucester, ON', 'K1J 9H8']",Richard Lalonde,613-746-1300,www.longwoodbuilders.com
1,Menkes Developments,"['4711 Yonge Street Suite 1400', 'Toronto, ON', 'M2N 7E4']","Nadine Sobanski Sales & Marketing Manager, Lowrise",416-491-2222,www.menkes.com
2,Northbear Contracting,"['20 Willow Drive', 'Belleville, ON', 'K8N 1X2']",Craig Barrett,613-391-4839,N/A
2,Oke Woodsmith Building Systems Inc.,"['70964 Bluewater Hwy., P.O. Box 9', 'Grand Bend, ON', 'N0M 1T0']",Randall Oke,(519) 238-8893,www.okewoodsmith.com
2,Pol Quality Homes Inc.,"['139 Herbert Street, Unit 7,', 'Mitchell, ON', 'N0K 1N0']",Daryl Pol,519-348-5005,polqualityhomes.com
2,Shean Architects Inc.,"['46 Garland Street', 'Ottawa, ON', 'K1Y 2A7']",Richard Shean,613-797-2423,www.sheanarchitects.com
2,Three Hills Engineering,"['264 Coleman Street', 'Belleville, ON', 'K8P 3H7']",Curtis Vreugdenhil,613-902-0036,http://www.threehillsengineering.com/
2,Toronto Deck and Rail,"['1611 Finfar Court', 'Mississauga, ON', 'L5J 4K1']",Matthew Tombs,437-690-0100,https://www.TorontoDeckandRail.com
1,Tridel,"['4800 Dufferin Street', 'Downsview, ON', 'M3H 5S9']",Jim Ritchie,416-661-9290,http://www.tridel.com
2,Upper Canada Consultants,"['Unit 3 ??? 30 Hannover Drive', 'St. Catharines, ON', 'L2W 1A3']",Jason Schooley,905-688-9400,http://www.ucc.com
